,POOL_NAME,POOL_ADDRESS
233,RGK/WAVAX,0x0fe8cc7d92cc882a59f86235cc99be6bea9a740d
234,ALPHA/WAVAX,0xb3faef8fd91c589652a42b378d7c8e79c5087810
235,THOT/WAVAX,0xa3c0448282f548222fb918268d0c4b506eedb213
236,MIM/USDT.e,0x0e6c7e325e835933043fbc14889555d3a4f925bf
237,USDC.e/SPELL,0x7a8cc3fc25687526871ba9fc238dab6d3d210b69
238,YAW/USDC.e,0x8e6e3a753856d1cf3825b154d5511de320e1ced3
239,YAW100/USDC.e,0xfbb4c95840f1bc947983ce0143667c45f2b582fe
240,BIT/USDT.e,0x764c6ea377d3e1282e2cddc13b6d546c51071829
241,MIM/SRA,0x322650194d9a421394f4559ca9c7594bddb748e4
242,DAI.e/DIGITS,0xc4c4ecd2e98ebb3754a00b04345ce7ec98c9ce08
243,MIM/LUCKY,0x1cfea18fa40990c0a6662504d78e881a3ef6d7bf
244,MIM/DIGITS,0x35eb96913cbbb127e24b00deb4a26f67f2510ea2
245,WAVAX/TUS,0xf967658df1cfe8963b06e6a9f8028ac80ddc1b80
246,Rex3/WAVAX,0x0fb747d5db225d381b7b5baa466be0c1390da767
247,HST/WAVAX,0x4ec22a8fdf4a81621f496f6cc84fa36f20494f66
248,OH/WAVAX,0xcb03b08d09368592beab3b895558431fcc2086be
249,CRV/WAVAX,0xadc08276e9e60bac28f5728bd08272104ef70785
250,MIM/SLP,0x7af2fd8e8094b902f457af489fc79f0aac63ce41
251,WAVAX/GTPS,0x7aded8786cf28373ca1c671868a9dee6c9c5a434
252,WETH.e/AAVE.e,0x0ca0ff7eaae72faab1df7e1a1c0afcf7d0a68dfd
253,USDC/DAI.e,0xaae274fe35c502698599690795ff215913dbe8fd
254,PTP/WAVAX,0xf5612ab25db5b1d19ca0a82aa93c8e87bfbc5a5c
255,FROST/WAVAX,0x95a094790671bf61ca9970d2b2c9d4aa0c5ef5ad
256,WETH.e/DAI.e,0x7ca47c7c50d6a48f90b3bb472a9cecd91edc7884
257,FM/USDT.e,0x393fdeb9eb0c190372969e5f10a8b86e70609959
258,MIM/PTP,0x027d7bd752cce874561792cc293cd9f47e0a747d
259,KITSU/WAVAX,0x06e893b1c41ebac52c9030cc019ef5a69b2257e8
260,ODON/WAVAX,0x1f747042c0a2ff571f04ac1d1510572dee55c9f9
261,TOKEN_FAKE/USDT_FAKE,0x218407bf512af30ace717c9cf322f951d116e88b
262,GRAPE/WINE,0x250cd25f33baf60ad2768d0a6a492b074d8a25a0
263,CRMSO/WAVAX,0x3944f2f605f80c491c564a6914f38f734a5e97b1
264,YAW100/YAW,0x41035d66b695914452851f7d01898199272e0d72
